donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits,consensus_primary_donor,consensus_primary_support
mixtral,qwen2_moe,2023-12-11,2024-06-07,179,1,31,altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|expert_bias_correction|ffn_activation_core|ffn_core|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|periodic_no_rope_layers|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation|same_block_attention_ssm|stack_topology|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|zero_expert_option,mixtral,0.8000
qwen,qwen2_moe,2023-08-03,2024-06-07,309,0,28,attention_family|attention_output_gating|attention_pattern|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|kv_lora_present|lm_head_bias|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_default|window_schedule_detail|windowed_rope_scope,mixtral,
gemma,gemma2,2024-02-21,2024-06-27,127,1,45,altup|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,gemma,0.9500
llama,exaone,2023-02-27,2024-08-07,527,0,25,altup|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|gated_delta_net|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope,bitnet,
qwen,exaone,2023-08-03,2024-08-07,370,0,25,attention_family|attention_output_gating|attention_pattern|block_norm_variant|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_reuse_attention|modality|ngram_memory|norm_scheme|positional_encoding|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|uses_logit_scale|window_schedule_detail,bitnet,
mixtral,phimoe,2023-12-11,2024-08-17,250,1,33,attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|periodic_no_rope_layers|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,mixtral,0.6500
qwen,phimoe,2023-08-03,2024-08-17,380,0,25,altup|attention_family|attention_output_gating|attention_pattern|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_lora_present|lm_head_bias|modality|norm_scheme|output_head_connection|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|tie_embeddings_configurable|tie_embeddings_default|zero_expert_option,mixtral,
minicpm,granite,2024-02-01,2024-08-23,204,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,minicpm,0.7500
mixtral,granitemoe,2023-12-11,2024-08-23,256,1,57,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,mixtral,1.0000
granitemoe,olmoe,2024-08-23,2024-09-04,12,1,31,attention_family|attention_projection|bitlinear_weights|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|residual_scheme|rglru_recurrence|rope_parameterization|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap,granitemoe,0.6000
openelm,olmoe,2024-04-24,2024-09-04,133,0,28,altup|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|uses_logit_scale|window_schedule_detail|windowed_rope_scope|zero_expert_option,granitemoe,
deepseek_v2,minicpm3,2024-05-06,2024-09-05,122,1,45,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,deepseek_v2,1.0000
phi3,minicpm3,2024-04-22,2024-09-05,136,0,4,has_moe|output_head_connection|positional_encoding|tie_embeddings_configurable,deepseek_v2,
mixtral,nemotron-nas,2023-12-11,2024-09-23,287,0,31,altup|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|kv_reuse_attention|lm_head_bias|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,exaone,
qwen,nemotron-nas,2023-08-03,2024-09-23,417,0,17,attention_family|attention_pattern|cross_layer_kv_sharing|gated_delta_net|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|norm_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|tie_embeddings_default|uses_logit_scale,exaone,
dbrx,rwkv7,2024-03-27,2024-09-23,180,0,22,attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_silu_gate|kv_layout|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|q_lora_present|qk_norm|same_block_attention_ssm|tie_embeddings_default|uses_logit_scale|window_schedule_detail,mamba,
mamba,rwkv7,2023-12-01,2024-09-23,297,1,19,altup|attention_output_gating|attention_projection|ffn_core|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|secondary_token_mixer|tie_embeddings_configurable|uses_logit_softcap,mamba,0.3500
olmoe,olmo2,2024-09-04,2024-11-26,83,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,olmoe,0.9500
cohere,cohere2,2024-03-11,2024-12-11,275,1,45,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,cohere,0.9500
deepseek_v2,deepseek_v3,2024-05-06,2024-12-26,234,1,59,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek_v2,1.0000
glm,helium,2021-03-18,2025-01-13,1397,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,glm,0.9000
deepseek_v3,minimax,2024-12-26,2025-01-14,19,0,28,altup|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|projection_bias_scheme|residual_scheme|residual_update_rule|router_activation|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,olmoe,
olmoe,minimax,2024-09-04,2025-01-14,132,1,31,attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|gated_delta_net|has_aux_relu2_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|moe_distribution|moe_schedule_type|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|uses_logit_softcap|zero_expert_option,olmoe,0.8500
gemma2,plamo2,2024-06-27,2025-01-14,201,0,6,has_moe|lm_head_bias|norm_scheme|output_head_connection|positional_encoding|residual_scheme,jamba,
jamba,plamo2,2024-03-28,2025-01-14,292,1,41,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,jamba,0.8500
internlm2,internlm3,2024-01-17,2025-01-15,364,1,48,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,internlm2,0.6000
cohere2,baichuan_m1,2024-12-11,2025-01-23,43,0,23,altup|attention_family|attention_output_gating|attention_pattern|chunked_kv_cache|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|laurel|lm_head_bias|modality|ngram_memory|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rope_parameterization|rope_partition_detail|stack_topology,internlm2,
qwen2_moe,baichuan_m1,2024-06-07,2025-01-23,230,0,24,bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|has_aux_relu2_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|residual_scheme|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,internlm2,
deepseek_v3,bailing_moe,2024-12-26,2025-02-28,64,0,22,altup|attention_output_gating|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_projection_style|has_aux_silu_gate|has_moe|has_shared_expert|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|optional_nope|residual_update_rule|router_activation|shared_branch_merge_mode|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail,minimax,
olmoe,bailing_moe,2024-09-04,2025-02-28,177,0,37,attention_family|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|hybrid_block_schedule|kv_layout|kv_lora_present|lm_head_bias|moe_subtype|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope|zero_expert_option,minimax,
gemma2,gemma3_text,2024-06-27,2025-03-12,258,0,18,block_norm_variant|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|kv_reuse_attention|lm_head_bias|modality|norm_scheme|optional_nope|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale,olmo2,
olmo2,gemma3_text,2024-11-26,2025-03-12,106,1,27,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_lora_present|laurel|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|uses_logit_softcap,olmo2,0.3000
deepseek_v3,nemotron_h,2024-12-26,2025-03-20,84,0,21,altup|block_norm_variant|dual_attention_modules|expert_bias_correction|ffn_core|global_plus_linear_attention_mix|has_moe|has_shared_expert|lm_head_bias|ngram_memory|output_head_connection|qk_norm|residual_scheme|residual_update_rule|router_activation|shared_branch_merge_mode|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail,jamba,
jamba,nemotron_h,2024-03-28,2025-03-20,357,1,30,attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|moe_schedule_type|positional_encoding|projection_bias_scheme|q_lora_present|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|zero_expert_option,jamba,0.7500
deepseek_v3,llama4,2024-12-26,2025-04-05,100,0,28,altup|bitlinear_weights|conv_on_kv|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|moe_distribution|ngram_memory|norm_scheme|output_head_connection|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|shared_branch_merge_mode|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|zero_expert_option,olmoe,
olmoe,llama4,2024-09-04,2025-04-05,213,1,29,attention_family|attention_output_gating|attention_projection|block_norm_variant|coefficient_mix_shared_routed|cross_layer_kv_sharing|expert_bias_correction|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_subtype|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|router_activation|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|uses_logit_softcap|windowed_rope_scope,olmoe,0.5500
minimax,llama4_text,2025-01-14,2025-04-05,81,1,29,altup|attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|ngram_memory|norm_scheme|optional_nope|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable,minimax,0.6500
plamo2,llama4_text,2025-01-14,2025-04-05,81,0,21,attention_output_gating|bitlinear_weights|block_norm_variant|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_reuse_attention|lm_head_bias|output_head_connection|periodic_no_rope_layers|positional_encoding|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,minimax,
bailing_moe,bailing_moe_linear,2025-02-28,2025-04-24,55,1,56,altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,bailing_moe,1.0000
olmo2,qwen3,2024-11-26,2025-04-29,154,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,olmo2,0.4500
llama4,qwen3_moe,2025-04-05,2025-04-29,24,0,31,altup|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|moe_schedule_type|norm_scheme|positional_encoding|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,granitemoe,
mixtral,qwen3_moe,2023-12-11,2025-04-29,505,0,29,attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|modality|moe_subtype|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|residual_update_rule|rope_partition_detail|router_activation|router_activation_configurable|stack_topology|tie_embeddings_configurable|zero_expert_option,granitemoe,
granitemoe,granitemoehybrid,2024-08-23,2025-04-30,250,1,35,altup|attention_output_gating|coefficient_mix_shared_routed|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_schedule_type|moe_subtype|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|router_activation|router_activation_configurable|same_block_attention_ssm|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope|zero_expert_option,granitemoe,0.6000
nemotron_h,granitemoehybrid,2025-03-20,2025-04-30,41,0,24,attention_family|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|grouped_expert_selection|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|ngram_memory|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail,granitemoe,
qwen2_moe,mimo,2024-06-07,2025-05-12,339,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,qwen2_moe,0.5000
